city,agency,stop_id,stop_name,trip_count,route_count
Bengaluru (Bangalore),BMTC,35475,Anjan Vidya Kendra School,4,2
Bengaluru (Bangalore),BMTC,39891,Anjanadri High School Doddakannahalli,10,2
Bengaluru (Bangalore),BMTC,39892,Anjanadri High School Doddakannahalli,12,2
Bengaluru (Bangalore),BMTC,21455,Anjananagara,744,119
Bengaluru (Bangalore),BMTC,21456,Anjananagara,761,126
Bengaluru (Bangalore),BMTC,23101,Anjanapura,39,10
Bengaluru (Bangalore),BMTC,23649,Anjanapura,133,14
Bengaluru (Bangalore),BMTC,23651,Anjanapura,167,21
Bengaluru (Bangalore),BMTC,38034,Anjanapura 10th  Block,38,4
Bengaluru (Bangalore),BMTC,21294,Anjanapura 10th Block,137,19
Bengaluru (Bangalore),BMTC,38032,Anjanapura 10th Block,51,6
Bengaluru (Bangalore),BMTC,38033,Anjanapura 10th Block,96,8
Bengaluru (Bangalore),BMTC,29373,Anjanapura 11th Block,6,2
Bengaluru (Bangalore),BMTC,35416,Anjanapura 11th Block,9,3
Bengaluru (Bangalore),BMTC,29526,Anjanapura 1st Block,10,1
Bengaluru (Bangalore),BMTC,35474,Anjanapura 1st Block,14,2
Bengaluru (Bangalore),BMTC,29527,Anjanapura 2nd Block,14,2
Bengaluru (Bangalore),BMTC,35473,Anjanapura 2nd Block,17,3
Bengaluru (Bangalore),BMTC,29528,Anjanapura 2nd Block Cross (LBSN),25,2
Bengaluru (Bangalore),BMTC,38778,Anjanapura 2nd Block Cross (LBSN),28,3
Bengaluru (Bangalore),BMTC,39977,Anjanapura 6th Block (Lakshmivenkateshwara Temple),16,2
Bengaluru (Bangalore),BMTC,39978,Anjanapura 6th Block (Lakshmivenkateshwara Temple),17,2
Bengaluru (Bangalore),BMTC,29529,Anjanapura Cross,30,4
Bengaluru (Bangalore),BMTC,35471,Anjanapura Cross,12,2
Bengaluru (Bangalore),BMTC,39836,Anjanapura RTO Office,19,1
Bengaluru (Bangalore),BMTC,23106,Anjaneya Temple Anekal,18,3
Bengaluru (Bangalore),BMTC,24184,Anjaneya Temple Anekal,36,9
Bengaluru (Bangalore),BMTC,21645,Anjaneya Temple Bidaraguppe,95,24
Bengaluru (Bangalore),BMTC,21646,Anjaneya Temple Bidaraguppe,167,26
Bengaluru (Bangalore),BMTC,29530,Anjaneya Temple Devanahalli,43,9
Bengaluru (Bangalore),BMTC,35470,Anjaneya Temple Devanahalli,41,8
Bengaluru (Bangalore),BMTC,21647,Anjaneya Temple Nelamangala,546,93
Bengaluru (Bangalore),BMTC,29533,Anjaneya Temple Nelamangala,550,93
Bengaluru (Bangalore),BMTC,29534,Anjaneya Temple Thigalarapalya,320,23
Bengaluru (Bangalore),BMTC,35468,Anjaneya Temple Thigalarapalya,336,19
Bengaluru (Bangalore),BMTC,29536,Ankanahalli,9,2
Bengaluru (Bangalore),BMTC,35466,Ankanahalli,9,1
Bengaluru (Bangalore),BMTC,29537,Ankegowdana Doddy,3,1
Bengaluru (Bangalore),BMTC,35465,Ankegowdana Doddy,3,1
Bengaluru (Bangalore),BMTC,39526,Anna Kuteera Kathriguppe,2,1
Bengaluru (Bangalore),BMTC,35464,Annahalli,4,2
Bengaluru (Bangalore),BMTC,35463,Annapoorneshwari nagara Cross,244,21
Bengaluru (Bangalore),BMTC,22686,Annapoorneshwarinagara,26,5
Bengaluru (Bangalore),BMTC,22687,Annapoorneshwarinagara,11,4
Bengaluru (Bangalore),BMTC,39966,Annapoorneshwarinagara (HGH),5,1
Bengaluru (Bangalore),BMTC,22684,Annapoorneshwarinagara 3rd Main Road,5,1
Bengaluru (Bangalore),BMTC,22688,Annapoorneshwarinagara 3rd Main Road,8,3
Bengaluru (Bangalore),BMTC,29540,Annapoorneshwarinagara Cross,235,19
Bengaluru (Bangalore),BMTC,29541,Annapoorneshwarinagara Water Tank,25,3
Bengaluru (Bangalore),BMTC,35462,Annapoorneshwarinagara Water Tank,26,4
Bengaluru (Bangalore),BMTC,39138,Annapurneshwari Badavane,70,14
Bengaluru (Bangalore),BMTC,39139,Annapurneshwari Badavane,72,15
Bengaluru (Bangalore),BMTC,21648,Annasandrapalya,4,1
Bengaluru (Bangalore),BMTC,21649,Annasandrapalya,4,1
Bengaluru (Bangalore),BMTC,23120,Annasandrapalya Cross,8,5
Bengaluru (Bangalore),BMTC,23646,Annasandrapalya Cross,9,6
Bengaluru (Bangalore),BMTC,29543,Anneshwara Circle,1,1
Bengaluru (Bangalore),BMTC,35460,Anneshwara Circle,1,1
Bengaluru (Bangalore),BMTC,40691,Antharahalli Gate,2,1
Bengaluru (Bangalore),BMTC,40692,Antharahalli Gate,3,1
Bengaluru (Bangalore),BMTC,40546,Anthem Factory,40,2
Bengaluru (Bangalore),BMTC,35459,Anubhavanagara,1,1
