city,agency,route_id,route_short_name,route_full_name,origin_stop,destination_stop,direction_id,trip_count,stop_count,first_departure,last_departure
Bengaluru (Bangalore),BMTC,2699,NICE-5,Electronic City Wipro Main Gate → BEML Layout 5th stage,Electronic City Wipro Main Gate,BEML Layout 5th stage,1,1,43,17:45:00,17:45:00
Bengaluru (Bangalore),BMTC,2699,NICE-5,BEML Layout 5th stage → Electronic City Wipro Main Gate,BEML Layout 5th stage,Electronic City Wipro Main Gate,0,1,39,07:30:00,07:30:00
Bengaluru (Bangalore),BMTC,2701,500-BA YTTMC-MTK-KRPGH,Yeshawanthapura Bus Station → KR Pura Market,Yeshawanthapura Bus Station,KR Pura Market,0,4,28,11:10:00,14:05:00
Bengaluru (Bangalore),BMTC,2701,500-BA YTTMC-MTK-KRPGH,KR Pura Bus Stand 1 → Yeshawanthapura Bus Station,KR Pura Bus Stand 1,Yeshawanthapura Bus Station,1,4,28,12:30:00,15:25:00
Bengaluru (Bangalore),BMTC,2702,360-D,Manchanahalli → KR Market (Kalasipalya) - Platform 3B,Manchanahalli,KR Market (Kalasipalya) - Platform 3B,1,2,39,08:15:00,09:00:00
Bengaluru (Bangalore),BMTC,2702,360-D,KR Market (Kalasipalya) - Platform 3B → Manchanahalli,KR Market (Kalasipalya) - Platform 3B,Manchanahalli,0,2,42,14:55:00,15:45:00
Bengaluru (Bangalore),BMTC,2703,349,KR Market (Kalasipalya) - Platform 3A → Huskur,KR Market (Kalasipalya) - Platform 3A,Huskur,0,3,36,09:35:00,16:35:00
Bengaluru (Bangalore),BMTC,2703,349,Huskur → KR Market (Kalasipalya) - Platform 3A,Huskur,KR Market (Kalasipalya) - Platform 3A,1,3,33,07:20:00,15:00:00
Bengaluru (Bangalore),BMTC,2704,600-CA,Banashankari Bus Station - Platform 7 → Anekal,Banashankari Bus Station - Platform 7,Anekal,0,9,49,08:05:00,15:35:00
Bengaluru (Bangalore),BMTC,2704,600-CA,Anekal → Banashankari Bus Station - Platform 7,Anekal,Banashankari Bus Station - Platform 7,1,8,49,07:20:00,16:30:00
Bengaluru (Bangalore),BMTC,2706,360-D KMT-ATB-KMLP,Kambalipura → KR Market (Kalasipalya),Kambalipura,KR Market (Kalasipalya),1,1,43,05:20:00,05:20:00
Bengaluru (Bangalore),BMTC,2706,360-D KMT-ATB-KMLP,KR Market (Kalasipalya) → Kambalipura,KR Market (Kalasipalya),Kambalipura,0,1,46,20:35:00,20:35:00
Bengaluru (Bangalore),BMTC,2709,360-K,Kempegowda Bus Station → Attibele Bus Stand,Kempegowda Bus Station,Attibele Bus Stand,0,48,46,04:35:00,21:15:00
Bengaluru (Bangalore),BMTC,2709,360-K,Attibele Bus Stand → Kempegowda Bus Station,Attibele Bus Stand,Kempegowda Bus Station,1,52,43,05:00:00,20:45:00
Bengaluru (Bangalore),BMTC,2710,600-FC,Jigani APC Circle → Banashankari Bus Station - Platform 7,Jigani APC Circle,Banashankari Bus Station - Platform 7,1,12,39,05:15:00,19:50:00
Bengaluru (Bangalore),BMTC,2710,600-FC,Banashankari Bus Station - Platform 7 → Jigani APC Circle,Banashankari Bus Station - Platform 7,Jigani APC Circle,0,12,39,06:40:00,18:20:00
Bengaluru (Bangalore),BMTC,2712,296,Kempegowda Bus Station → HBR Layout 5th Block,Kempegowda Bus Station,HBR Layout 5th Block,0,1,23,17:30:00,17:30:00
Bengaluru (Bangalore),BMTC,2712,296,5th Block HBR Layout → Kempegowda Bus Station,5th Block HBR Layout,Kempegowda Bus Station,1,2,22,08:00:00,16:30:00
Bengaluru (Bangalore),BMTC,2715,242-N,KR Market (Kalasipalya) - Platform 6B → Giddenahalli,KR Market (Kalasipalya) - Platform 6B,Giddenahalli,0,1,37,20:30:00,20:30:00
